id.material,material,presentacion
1,asfalto,25 kg
2,cast. 12x12-4 elect.,castillos
3,cast. 12x20-4 elect.,castillos
4,cast. 15x15-4 elect.,castillos
5,cast. 15x15-4t2 elect.,castillos
6,cast. 15x20-4 elect.,castillos
7,cast. 15x20-4t2 elect.,castillos
8,cast. 15x25-4 elect.,castillos
9,cast. 15x30-4 elect.,castillos
10,cemento antihumedad,2 kg
11,cemento antihumedad,25 kg
12,cemento blanco,2 kg
13,cemento blanco,25 kg
14,cemento blanco,50 kg
15,cemento gris,2 kg
16,cemento gris,25 kg
17,cemento gris,42.6 kg
18,cemento gris,50 kg
19,cemento gris,big bag
20,cemento mortero,2 kg
21,cemento mortero,25 kg
22,cemento mortero,50 kg
23,cementos secos,25 kg
24,concreto seco,25 kg
25,concreto seco,40 kg
26,concreto seco,50 kg
27,impercem,2 kg
28,impercem,50 kg
29,multiplast,2 kg
30,multiplast,20 kg
31,multiplast,25 kg
32,multiplast,40 kg
